Symbol,Period,Total Asset,TotalLiabilities('000 Baht),Paid-upCap('000 Baht),Equity('000 Baht),Revenue('000 Baht),Expenses('000 Baht),EBITDA('000 Baht),EBIT('000 Baht),Net Profit('000 Baht),EPS**(Baht),Operating Cash Flow('000 Baht),Investing Cash Flow('000 Baht),Financing Cash Flow('000 Baht),Net Cash Flow('000 Baht),Return onEquity+(%),Return onAsset+(%),Gross ProfitMargin(%),Net ProfitMargin(%),EBIT Margin(%),D/E(Times),Int. Coverage(Times),Current Ratio(Times),Quick Ratio(Times),FixedAssetTurnover+(Times),TotalAssetTurnover+(Times),Inventory Turnover+(Times),Average Sale Period+(Days),Accounts Receivable Turnover+(Times),Average Collection Period+(Days),Account Payable Turnover+(Times),Average Payment Period+(Days),Cash Cycle+(Days),Equity Multiplier,Period
Mk,Q3/2017,13897437.00,7378392.00,992010.00,6412274.00,702991.00,590014.00,151862.00,112977.00,34805.00,0.04,211727.00,-288818.00,76052.00,-1039.00,3.78,3.96,28.15,4.95,16.07,1.15,1.90,3.50,0.14,3.99,0.23,0.22,1631.20,37.40,9.76,8.12,44.97,1595.99,2.17,2017Q3
Mk,Q4/2017,14179835.00,7511948.10,992010.18,6560084.45,1202307.45,948383.63,290122.66,253923.82,147810.82,0.15,177161.58,-331207.61,177274.87,23228.84,3.55,3.88,41.13,12.29,21.12,1.15,4.11,3.26,0.16,3.68,0.24,0.26,1428.12,22.59,16.16,16.72,21.83,1422.44,2.16,2017Q4
Mk,Q1/2018,14359064.00,7747969.00,992010.00,6603939.00,1272735.00,1144048.00,167691.00,128687.00,44483.00,0.04,423024.00,-431707.00,33191.00,24508.00,3.80,4.01,30.05,3.50,10.11,1.17,1.77,2.96,0.26,4.15,0.27,0.32,1130.68,209.47,1.74,17.30,21.09,1111.32,2.17,2018Q1
Mk,Q2/2018,14234667.00,7723343.00,992010.00,6511252.00,1374128.00,1138040.00,280021.00,236088.00,126434.00,0.13,1014048.00,-664048.00,-294299.00,55701.00,5.49,5.30,27.93,9.20,17.18,1.19,3.36,4.62,0.50,4.80,0.33,0.40,909.89,314.75,1.16,19.55,18.67,892.38,2.19,2018Q2
Mk,Q3/2018,15335502.00,8822754.00,992010.00,6512641.00,755838.00,670179.00,132522.00,85659.00,1389.00,0.00,1310000.00,-1747454.00,521195.00,83741.00,4.95,4.82,32.17,0.18,11.33,1.35,1.15,2.55,0.10,2.69,0.32,0.38,959.30,365.65,1.00,14.30,25.52,934.77,2.35,2018Q3
Mk,Q4/2018,15726766.03,9080745.44,992010.18,6646020.59,1310436.94,1080410.42,275858.45,230026.52,133618.72,0.14,2046406.92,-2365686.92,303730.29,-15549.71,4.63,4.55,42.28,10.20,17.55,1.37,2.91,1.98,0.03,2.06,0.32,0.40,918.46,329.28,1.11,18.74,19.48,900.09,2.37,2018Q4
Mk,Q1/2019,15861457.00,9087830.00,992010.00,6773627.00,1819624.00,1594513.00,273291.00,225111.00,127606.00,0.13,654499.00,-415840.00,25506.00,264165.00,5.82,5.14,28.50,7.01,12.37,1.34,2.90,1.93,0.11,2.21,0.35,0.48,764.89,310.10,1.18,16.82,21.69,744.37,2.34,2019Q1
Mk,Q2/2019,15733059.00,8851897.00,1091205.00,6881162.00,1151091.00,917483.00,282966.00,233608.00,131254.00,0.12,667224.00,-625125.00,20546.00,62645.00,5.88,5.17,34.62,11.40,20.29,1.29,2.83,2.19,0.33,2.05,0.34,0.47,776.53,445.45,0.82,15.90,22.96,754.39,2.29,2019Q2
Mk,Q3/2019,15585232.00,8729569.00,1091205.00,6855663.00,770795.00,714916.00,110637.00,55879.00,-26138.00,-0.02,725042.00,-477585.00,-214443.00,33014.00,5.48,4.82,30.94,-3.39,7.25,1.27,0.68,1.52,0.06,1.52,0.33,0.51,718.27,416.76,0.88,14.02,26.03,693.12,2.27,2019Q3
Mk,Q4/2019,16706851.84,9911927.31,1091205.07,6794924.53,861175.63,812446.02,107056.29,48729.61,-55275.23,-0.05,966833.35,-1726395.37,778962.47,19400.45,2.64,3.47,32.53,-6.42,5.66,1.46,0.56,1.94,0.30,1.16,0.28,0.49,743.89,268.98,1.36,10.92,33.43,711.82,2.46,2019Q4
