Symbol,Period,Total Asset,TotalLiabilities('000 Baht),Paid-upCap('000 Baht),Equity('000 Baht),Revenue('000 Baht),Expenses('000 Baht),EBITDA('000 Baht),EBIT('000 Baht),Net Profit('000 Baht),EPS**(Baht),Operating Cash Flow('000 Baht),Investing Cash Flow('000 Baht),Financing Cash Flow('000 Baht),Net Cash Flow('000 Baht),Return onEquity+(%),Return onAsset+(%),Gross ProfitMargin(%),Net ProfitMargin(%),EBIT Margin(%),D/E(Times),Int. Coverage(Times),Current Ratio(Times),Quick Ratio(Times),FixedAssetTurnover+(Times),TotalAssetTurnover+(Times),Inventory Turnover+(Times),Average Sale Period+(Days),Accounts Receivable Turnover+(Times),Average Collection Period+(Days),Account Payable Turnover+(Times),Average Payment Period+(Days),Cash Cycle+(Days),Equity Multiplier,Period
A,Q3/2017,"13,457,257.00","10,101,437.00","980,000.00","3,355,820.00","1,404,395.00","1,284,324.00","139,935.00","120,071.00","45,424.00",0.05,"692,917.00","-16,368.00","-694,135.00","-17,586.00",3.2,3.05,31.55,3.23,8.55,3.01,2.01,4.22,0.13,12.26,0.36,0.27,"1,333.10",96.91,3.77,10.7,34.13,"1,302.74",4.01,2017Q3
A,Q4/2017,"13,509,798.93","10,169,327.29","980,000.00","3,340,471.63","1,374,146.66","1,293,679.61","103,295.06","80,467.05","7,342.30",0.01,"947,933.09","-21,345.23","-956,343.95","-29,756.08",2.94,2.98,34.36,0.53,5.86,3.04,1.19,4.75,0.15,15,0.37,0.29,"1,264.17",74.25,4.92,11.17,32.67,"1,236.42",4.04,2017Q4
A,Q1/2018,"13,624,567.00","10,230,683.00","980,000.00","3,393,884.00","1,062,533.00","936,684.00","143,068.00","125,849.00","53,412.00",0.05,"98,719.00","19,724.00","-198,928.00","-80,485.00",3.62,3.14,39,5.03,11.84,3.01,2.36,4.43,0.11,14.68,0.36,0.28,"1,302.20",69.89,5.22,10.03,36.4,"1,271.02",4.01,2018Q1
A,Q2/2018,"13,772,536.00","10,401,390.00","980,000.00","3,371,146.00","995,729.00","913,203.00","101,510.00","82,526.00","16,460.00",0.02,"265,124.00","28,062.00","-386,572.00","-93,386.00",3.67,2.96,35,1.65,8.29,3.09,1.42,2.97,0.08,14.79,0.35,0.27,"1,371.36",50.56,7.22,9.83,37.12,"1,341.45",4.09,2018Q2
A,Q3/2018,"14,082,529.00","10,694,396.00","980,000.00","3,388,133.00","1,042,082.00","956,745.00","104,371.00","85,337.00","16,987.00",0.02,"55,462.00","-3,368.00","-218,512.00","-166,418.00",2.79,2.72,37.51,1.63,8.19,3.16,1.51,2.27,0.03,14.19,0.32,0.24,"1,535.75",72.56,5.03,9.6,38.03,"1,502.76",4.16,2018Q3
A,Q4/2018,"14,297,304.83","10,965,245.49","980,000.00","3,332,059.34","938,534.00","939,120.67","19,106.57",-586.67,"-56,073.69",-0.06,"272,618.57","-119,272.03","-359,145.77","-205,799.22",0.92,2.11,36.76,-5.97,-0.06,3.29,-0.01,2.21,0.03,13.11,0.29,0.22,"1,693.59",52.24,6.99,6.84,53.4,"1,647.18",4.29,2018Q4
A,Q1/2019,"14,369,639.00","11,026,343.00","980,000.00","3,343,296.00","867,300.00","775,619.00","107,777.00","91,681.00","11,236.00",0.01,"306,306.00","-61,613.00","-248,182.00","-3,489.00",-0.34,1.85,42.15,1.3,10.57,3.3,1.24,2.04,0.02,12.64,0.27,0.2,"1,815.24",48.79,7.48,5.8,62.93,"1,759.80",4.30,2019Q1
A,Q2/2019,"15,321,426.00","12,022,772.00","980,000.00","3,298,654.00","863,239.00","839,730.00","43,672.00","23,509.00","-45,320.00",-0.05,"219,577.00","-104,276.00","436,708.00","552,009.00",-2.19,1.37,35.84,-5.25,2.72,3.64,0.28,2.06,0.16,12.24,0.26,0.19,"1,927.81",15.44,23.64,5.06,72.09,"1,879.36",4.64,2019Q2
A,Q3/2019,"14,890,241.00","11,677,840.00","980,000.00","3,212,401.00","737,401.00","770,414.00","-13,570.00","-33,013.00","-86,253.00",-0.09,"443,345.00","-224,492.00","-248,265.00","-29,412.00",-5.35,0.56,31.54,-11.7,-4.48,3.64,-0.45,2.15,0.08,11.67,0.24,0.17,"2,089.80",14.09,25.91,4.61,79.25,"2,036.46",4.64,2019Q3
A,Q4/2019,"15,279,322.01","11,876,154.17","980,000.00","3,403,167.84","520,626.23","613,226.86","-78,364.94","-92,600.64","-160,268.45",-0.17,"843,451.14","-514,357.55","-349,083.92","-19,990.33",-8.33,-0.07,-10.78,-30.78,-17.79,3.49,-1.29,1.84,0.05,7.93,0.2,0.18,"2,077.57",17.8,20.51,3.08,118.68,"1,979.40",4.49,2019Q4
